x [um]	Ec	Ev	Ei	Efn	Efp
0.40774	0.303002	-0.816998	-0.256998	-0.0774024	-0.603591
0.408391	0.303002	-0.816998	-0.256998	-0.0773239	-0.60359
0.409042	0.303002	-0.816998	-0.256998	-0.0772456	-0.60359
0.409692	0.303002	-0.816998	-0.256998	-0.0771676	-0.60359
0.410343	0.303002	-0.816998	-0.256998	-0.0770898	-0.60359
0.410994	0.303002	-0.816998	-0.256998	-0.0770123	-0.60359
0.411644	0.303002	-0.816998	-0.256998	-0.0769349	-0.60359
0.412295	0.303003	-0.816997	-0.256997	-0.0768578	-0.60359
0.412946	0.303003	-0.816997	-0.256997	-0.076781	-0.60359
0.413597	0.303003	-0.816997	-0.256997	-0.0767043	-0.60359
0.414247	0.303003	-0.816997	-0.256997	-0.0766279	-0.60359
0.414898	0.303003	-0.816997	-0.256997	-0.0765517	-0.60359
0.415549	0.303003	-0.816997	-0.256997	-0.0764757	-0.60359
0.4162	0.303003	-0.816997	-0.256997	-0.0764	-0.60359
0.41685	0.303004	-0.816996	-0.256996	-0.0763245	-0.60359
0.417501	0.303004	-0.816996	-0.256996	-0.0762492	-0.60359
0.418152	0.303004	-0.816996	-0.256996	-0.0761741	-0.60359
0.418803	0.303004	-0.816996	-0.256996	-0.0760992	-0.60359
0.419453	0.303004	-0.816996	-0.256996	-0.0760246	-0.60359
0.420104	0.303004	-0.816996	-0.256996	-0.0759501	-0.60359
0.420755	0.303004	-0.816996	-0.256996	-0.0758759	-0.60359
0.421405	0.303004	-0.816996	-0.256996	-0.0758019	-0.60359
0.422056	0.303005	-0.816995	-0.256995	-0.0757281	-0.60359
0.422707	0.303005	-0.816995	-0.256995	-0.0756545	-0.60359
0.423358	0.303005	-0.816995	-0.256995	-0.0755811	-0.60359
0.424008	0.303005	-0.816995	-0.256995	-0.0755079	-0.60359
0.424659	0.303005	-0.816995	-0.256995	-0.0754349	-0.60359
0.42531	0.303005	-0.816995	-0.256995	-0.0753622	-0.60359
0.425961	0.303005	-0.816995	-0.256995	-0.0752896	-0.60359
0.426611	0.303006	-0.816994	-0.256994	-0.0752173	-0.60359
0.427262	0.303006	-0.816994	-0.256994	-0.0751451	-0.60359
0.427913	0.303006	-0.816994	-0.256994	-0.0750731	-0.60359
0.428563	0.303006	-0.816994	-0.256994	-0.0750014	-0.60359
