x [um]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]
0.560662	2.6797e+13	1.00268e+16
0.561313	2.68445e+13	1.00268e+16
0.561964	2.68919e+13	1.00269e+16
0.562614	2.69393e+13	1.00269e+16
0.563265	2.69868e+13	1.0027e+16
0.563916	2.70342e+13	1.0027e+16
0.564567	2.70817e+13	1.00271e+16
0.565217	2.71291e+13	1.00271e+16
0.565868	2.71766e+13	1.00272e+16
0.566519	2.7224e+13	1.00272e+16
0.567169	2.72715e+13	1.00273e+16
0.56782	2.73189e+13	1.00273e+16
0.568471	2.73664e+13	1.00274e+16
0.569122	2.74138e+13	1.00274e+16
0.569772	2.74612e+13	1.00275e+16
0.570423	2.75087e+13	1.00275e+16
0.571074	2.75561e+13	1.00276e+16
0.571725	2.76036e+13	1.00276e+16
0.572375	2.7651e+13	1.00276e+16
0.573026	2.76985e+13	1.00277e+16
0.573677	2.77459e+13	1.00277e+16
0.574328	2.77933e+13	1.00278e+16
0.574978	2.78408e+13	1.00278e+16
0.575629	2.78882e+13	1.00279e+16
0.57628	2.79357e+13	1.00279e+16
0.57693	2.79831e+13	1.0028e+16
0.577581	2.80306e+13	1.0028e+16
0.578232	2.8078e+13	1.00281e+16
0.578883	2.81254e+13	1.00281e+16
0.579533	2.81729e+13	1.00282e+16
0.580184	2.82203e+13	1.00282e+16
0.580835	2.82678e+13	1.00283e+16
0.581486	2.83152e+13	1.00283e+16
0.582136	2.83626e+13	1.00284e+16
0.582787	2.84101e+13	1.00284e+16
0.583438	2.84575e+13	1.00285e+16
0.584089	2.8505e+13	1.00285e+16
0.584739	2.85524e+13	1.00285e+16
0.58539	2.85998e+13	1.00286e+16
0.586041	2.86473e+13	1.00286e+16
0.586691	2.86947e+13	1.00287e+16
0.587342	2.87422e+13	1.00287e+16
0.587993	2.87896e+13	1.00288e+16
0.588644	2.8837e+13	1.00288e+16
0.589294	2.88845e+13	1.00289e+16
0.589945	2.89319e+13	1.00289e+16
0.590596	2.89793e+13	1.0029e+16
