x [um]	Electric Field [V/cm]	Electric Field [V/cm]
0.611419	2.10302	2.10303
0.61207	2.103	2.10301
0.612721	2.10298	2.10299
0.613371	2.10296	2.10297
0.614022	2.10294	2.10295
0.614673	2.10292	2.10293
0.615324	2.1029	2.10291
0.615974	2.10287	2.10288
0.616625	2.10285	2.10286
0.617276	2.10283	2.10284
0.617927	2.10281	2.10282
0.618577	2.10279	2.1028
0.619228	2.10277	2.10278
0.619879	2.10275	2.10276
0.62053	2.10273	2.10274
0.62118	2.10271	2.10272
0.621831	2.10269	2.1027
0.622482	2.10267	2.10268
0.623132	2.10265	2.10266
0.623783	2.10263	2.10264
0.624434	2.10261	2.10262
0.625085	2.10259	2.1026
0.625735	2.10257	2.10258
0.626386	2.10255	2.10256
0.627037	2.10253	2.10254
0.627688	2.10251	2.10252
0.628338	2.10249	2.1025
0.628989	2.10247	2.10248
0.62964	2.10244	2.10246
0.63029	2.10242	2.10243
0.630941	2.1024	2.10241
0.631592	2.10238	2.10239
0.632243	2.10236	2.10237
0.632893	2.10234	2.10235
0.633544	2.10232	2.10233
0.634195	2.1023	2.10231
0.634846	2.10228	2.10229
0.635496	2.10226	2.10227
0.636147	2.10224	2.10225
0.636798	2.10222	2.10223
0.637449	2.1022	2.10221
0.638099	2.10218	2.10219
0.63875	2.10216	2.10217
0.639401	2.10214	2.10215
0.640051	2.10212	2.10213
0.640702	2.1021	2.10211
0.641353	2.10208	2.10209
0.642004	2.10206	2.10207
0.642654	2.10204	2.10205
0.643305	2.10201	2.10202
0.643956	2.10199	2.102
0.644607	2.10197	2.10198
0.645257	2.10195	2.10196
0.645908	2.10193	2.10194
0.646559	2.10191	2.10192
0.64721	2.10189	2.1019
0.64786	2.10187	2.10188
0.648511	2.10185	2.10186
0.649162	2.10183	2.10184
0.649812	2.10181	2.10182
0.650463	2.10179	2.1018
0.651114	2.10177	2.10178
0.651765	2.10175	2.10176
0.652415	2.10173	2.10174
0.653066	2.10171	2.10172
0.653717	2.10169	2.1017
0.654368	2.10167	2.10168
0.655018	2.10165	2.10166
0.655669	2.10163	2.10164
0.65632	2.1016	2.10161
0.656971	2.10158	2.10159
0.657621	2.10156	2.10157
0.658272	2.10154	2.10155
0.658923	2.10152	2.10153
0.659573	2.1015	2.10151
0.660224	2.10148	2.10149
0.660875	2.10146	2.10147
0.661526	2.10144	2.10145
0.662176	2.10142	2.10143
0.662827	2.1014	2.10141
0.663478	2.10138	2.10139
0.664129	2.10136	2.10137
0.664779	2.10134	2.10135
0.66543	2.10132	2.10133
0.666081	2.1013	2.10131
0.666731	2.10128	2.10129
0.667382	2.10126	2.10127
0.668033	2.10124	2.10125
0.668684	2.10121	2.10123
0.669334	2.10119	2.1012
0.669985	2.10117	2.10118
0.670636	2.10115	2.10116
0.671287	2.10113	2.10114
0.671937	2.10111	2.10112
0.672588	2.10109	2.1011
0.673239	2.10107	2.10108
0.67389	2.10105	2.10106
0.67454	2.10103	2.10104
0.675191	2.10101	2.10102
0.675842	2.10099	2.101
0.676492	2.10097	2.10098
0.677143	2.10095	2.10096
0.677794	2.10093	2.10094
0.678445	2.10091	2.10092
0.679095	2.10089	2.1009
0.679746	2.10087	2.10088
0.680397	2.10085	2.10086
0.681048	2.10082	2.10083
0.681698	2.1008	2.10081
0.682349	2.10078	2.10079
0.683	2.10076	2.10077
0.683651	2.10074	2.10075
0.684301	2.10072	2.10073
0.684952	2.1007	2.10071
0.685603	2.10068	2.10069
0.686253	2.10066	2.10067
0.686904	2.10064	2.10065
0.687555	2.10062	2.10063
0.688206	2.1006	2.10061
0.688856	2.10058	2.10059
0.689507	2.10056	2.10057
0.690158	2.10054	2.10055
0.690809	2.10052	2.10053
0.691459	2.1005	2.10051
0.69211	2.10048	2.10049
0.692761	2.10045	2.10047
0.693412	2.10043	2.10044
0.694062	2.10041	2.10042
0.694713	2.10039	2.1004
0.695364	2.10037	2.10038
0.696014	2.10035	2.10036
0.696665	2.10033	2.10034
0.697316	2.10031	2.10032
0.697967	2.10029	2.1003
