x [um]	Total Current Density [Amp/cm^2]
1.00186	4.18521
1.00251	4.18522
1.00316	4.18524
1.00381	4.18525
1.00446	4.18526
1.00511	4.18527
1.00576	4.18528
1.00641	4.1853
1.00706	4.18531
1.00772	4.18532
1.00837	4.18533
1.00902	4.18535
1.00967	4.18536
1.01032	4.18537
1.01097	4.18538
1.01162	4.1854
1.01227	4.18541
1.01292	4.18542
1.01357	4.18543
1.01422	4.18544
1.01487	4.18546
1.01552	4.18547
1.01617	4.18548
1.01683	4.18549
1.01748	4.18551
1.01813	4.18552
1.01878	4.18553
1.01943	4.18554
1.02008	4.18556
1.02073	4.18557
1.02138	4.18558
1.02203	4.18559
1.02268	4.18561
1.02333	4.18562
1.02398	4.18563
1.02463	4.18564
1.02528	4.18566
1.02594	4.18567
1.02659	4.18568
1.02724	4.18569
1.02789	4.18571
1.02854	4.18572
1.02919	4.18573
1.02984	4.18574
1.03049	4.18576
1.03114	4.18577
1.03179	4.18578
1.03244	4.1858
1.03309	4.18581
1.03374	4.18582
1.0344	4.18583
1.03505	4.18585
1.0357	4.18586
1.03635	4.18587
1.037	4.18588
1.03765	4.1859
1.0383	4.18591
1.03895	4.18592
1.0396	4.18594
1.04025	4.18595
1.0409	4.18596
1.04155	4.18597
1.0422	4.18599
1.04285	4.186
1.04351	4.18601
1.04416	4.18602
1.04481	4.18604
1.04546	4.18605
1.04611	4.18606
1.04676	4.18608
1.04741	4.18609
1.04806	4.1861
1.04871	4.18611
1.04936	4.18613
1.05001	4.18614
1.05066	4.18615
1.05131	4.18617
1.05196	4.18618
1.05262	4.18619
1.05327	4.18621
1.05392	4.18622
1.05457	4.18623
1.05522	4.18624
1.05587	4.18626
1.05652	4.18627
1.05717	4.18628
1.05782	4.1863
1.05847	4.18631
1.05912	4.18632
1.05977	4.18634
1.06042	4.18635
1.06108	4.18636
1.06173	4.18637
1.06238	4.18639
1.06303	4.1864
1.06368	4.18641
1.06433	4.18643
1.06498	4.18644
1.06563	4.18645
1.06628	4.18647
1.06693	4.18648
1.06758	4.18649
1.06823	4.18651
1.06888	4.18652
1.06953	4.18653
1.07019	4.18655
1.07084	4.18656
1.07149	4.18657
1.07214	4.18659
1.07279	4.1866
1.07344	4.18661
1.07409	4.18663
1.07474	4.18664
1.07539	4.18665
1.07604	4.18667
1.07669	4.18668
1.07734	4.18669
1.07799	4.18671
1.07864	4.18672
1.0793	4.18673
1.07995	4.18675
1.0806	4.18676
1.08125	4.18677
1.0819	4.18679
1.08255	4.1868
1.0832	4.18681
1.08385	4.18683
1.0845	4.18684
1.08515	4.18685
1.0858	4.18687
1.08645	4.18688
1.0871	4.18689
1.08776	4.18691
1.08841	4.18692
1.08906	4.18693
1.08971	4.18695
1.09036	4.18696
1.09101	4.18697
1.09166	4.18699
1.09231	4.187
1.09296	4.18701
1.09361	4.18703
1.09426	4.18704
1.09491	4.18706
1.09556	4.18707
1.09621	4.18708
1.09687	4.1871
1.09752	4.18711
