x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
0.315987	-0.346552	-0.00311983	-0.00314469	22500	1e+16	5.00785e+09	0.898227
0.316638	-0.346552	-0.00307088	-0.00309535	22500	1e+16	4.92929e+09	0.898227
0.317288	-0.346552	-0.00302271	-0.0030468	22500	1e+16	4.85197e+09	0.898227
0.317939	-0.346552	-0.00297529	-0.002999	22500	1e+16	4.77585e+09	0.898227
0.31859	-0.346552	-0.00292862	-0.00295196	22500	1e+16	4.70093e+09	0.898227
0.31924	-0.346552	-0.00288268	-0.00290565	22500	1e+16	4.62719e+09	0.898227
0.319891	-0.346552	-0.00283746	-0.00286007	22500	1e+16	4.5546e+09	0.898227
0.320542	-0.346552	-0.00279295	-0.00281521	22500	1e+16	4.48315e+09	0.898227
0.321193	-0.346552	-0.00274914	-0.00277105	22500	1e+16	4.41283e+09	0.898227
0.321843	-0.346552	-0.00270601	-0.00272758	22500	1e+16	4.3436e+09	0.898227
0.322494	-0.346552	-0.00266357	-0.00268479	22500	1e+16	4.27546e+09	0.898227
0.323145	-0.346552	-0.00262178	-0.00264267	22500	1e+16	4.20839e+09	0.898227
0.323796	-0.346552	-0.00258066	-0.00260122	22500	1e+16	4.14238e+09	0.898227
0.324446	-0.346552	-0.00254017	-0.00256041	22500	1e+16	4.07739e+09	0.898227
0.325097	-0.346552	-0.00250033	-0.00252025	22500	1e+16	4.01343e+09	0.898227
0.325748	-0.346552	-0.0024611	-0.00248072	22500	1e+16	3.95047e+09	0.898227
0.326399	-0.346552	-0.0024225	-0.0024418	22500	1e+16	3.8885e+09	0.898227
0.327049	-0.346552	-0.0023845	-0.0024035	22500	1e+16	3.8275e+09	0.898227
0.3277	-0.346552	-0.00234709	-0.00236579	22500	1e+16	3.76746e+09	0.898227
0.328351	-0.346552	-0.00231027	-0.00232868	22500	1e+16	3.70835e+09	0.898227
0.329001	-0.346552	-0.00227403	-0.00229215	22500	1e+16	3.65018e+09	0.898227
0.329652	-0.346552	-0.00223836	-0.00225619	22500	1e+16	3.59292e+09	0.898227
0.330303	-0.346552	-0.00220324	-0.0022208	22500	1e+16	3.53656e+09	0.898227
0.330954	-0.346552	-0.00216868	-0.00218596	22500	1e+16	3.48108e+09	0.898227
