x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
3.029722e-01	-3.465518e-01	-4.280207e-03	-4.314314e-03	2.249998e+04	1.000001e+16	6.870494e+09	8.982267e-01
3.036229e-01	-3.465518e-01	-4.213063e-03	-4.246635e-03	2.249998e+04	1.000001e+16	6.762717e+09	8.982267e-01
3.042736e-01	-3.465518e-01	-4.146974e-03	-4.180018e-03	2.249999e+04	1.000001e+16	6.656629e+09	8.982267e-01
3.049244e-01	-3.465518e-01	-4.081921e-03	-4.114447e-03	2.249999e+04	1.000001e+16	6.552206e+09	8.982267e-01
3.055751e-01	-3.465518e-01	-4.017889e-03	-4.049905e-03	2.249999e+04	1.000001e+16	6.449422e+09	8.982267e-01
3.062258e-01	-3.465518e-01	-3.954860e-03	-3.986375e-03	2.249999e+04	1.000001e+16	6.348249e+09	8.982267e-01
3.068766e-01	-3.465518e-01	-3.892820e-03	-3.923840e-03	2.249999e+04	1.000001e+16	6.248664e+09	8.982267e-01
3.075273e-01	-3.465518e-01	-3.831756e-03	-3.862288e-03	2.249999e+04	1.000001e+16	6.150640e+09	8.982267e-01
3.081780e-01	-3.465518e-01	-3.771647e-03	-3.801702e-03	2.249999e+04	1.000001e+16	6.054155e+09	8.982267e-01
3.088288e-01	-3.465518e-01	-3.712482e-03	-3.742065e-03	2.249999e+04	1.000001e+16	5.959183e+09	8.982267e-01
3.094795e-01	-3.465518e-01	-3.654244e-03	-3.683363e-03	2.249999e+04	1.000001e+16	5.865700e+09	8.982267e-01
3.101302e-01	-3.465518e-01	-3.596922e-03	-3.625583e-03	2.249999e+04	1.000001e+16	5.773685e+09	8.982267e-01
3.107810e-01	-3.465518e-01	-3.540496e-03	-3.568709e-03	2.249999e+04	1.000001e+16	5.683112e+09	8.982267e-01
3.114317e-01	-3.465518e-01	-3.484957e-03	-3.512727e-03	2.249999e+04	1.000001e+16	5.593961e+09	8.982267e-01
3.120824e-01	-3.465518e-01	-3.430290e-03	-3.457624e-03	2.249999e+04	1.000001e+16	5.506208e+09	8.982267e-01
3.127332e-01	-3.465518e-01	-3.376479e-03	-3.403385e-03	2.249999e+04	1.000001e+16	5.419831e+09	8.982267e-01
3.133839e-01	-3.465518e-01	-3.323514e-03	-3.349997e-03	2.249999e+04	1.000001e+16	5.334810e+09	8.982267e-01
3.140346e-01	-3.465517e-01	-3.271379e-03	-3.297447e-03	2.249999e+04	1.000001e+16	5.251122e+09	8.982267e-01
3.146854e-01	-3.465517e-01	-3.220060e-03	-3.245719e-03	2.249999e+04	1.000001e+16	5.168747e+09	8.982267e-01
3.153361e-01	-3.465517e-01	-3.169546e-03	-3.194803e-03	2.249999e+04	1.000001e+16	5.087664e+09	8.982267e-01
3.159868e-01	-3.465517e-01	-3.119826e-03	-3.144686e-03	2.249999e+04	1.000001e+16	5.007853e+09	8.982267e-01
3.166376e-01	-3.465517e-01	-3.070884e-03	-3.095355e-03	2.249999e+04	1.000000e+16	4.929294e+09	8.982267e-01
3.172883e-01	-3.465517e-01	-3.022712e-03	-3.046798e-03	2.249999e+04	1.000000e+16	4.851968e+09	8.982267e-01
3.179390e-01	-3.465517e-01	-2.975295e-03	-2.999003e-03	2.249999e+04	1.000000e+16	4.775854e+09	8.982267e-01
3.185898e-01	-3.465517e-01	-2.928624e-03	-2.951959e-03	2.249999e+04	1.000000e+16	4.700935e+09	8.982267e-01
3.192405e-01	-3.465517e-01	-2.882682e-03	-2.905653e-03	2.249999e+04	1.000000e+16	4.627191e+09	8.982267e-01
3.198912e-01	-3.465517e-01	-2.837463e-03	-2.860073e-03	2.249999e+04	1.000000e+16	4.554603e+09	8.982267e-01
3.205420e-01	-3.465517e-01	-2.792954e-03	-2.815209e-03	2.249999e+04	1.000000e+16	4.483155e+09	8.982267e-01
3.211927e-01	-3.465517e-01	-2.749140e-03	-2.771047e-03	2.249999e+04	1.000000e+16	4.412826e+09	8.982267e-01
3.218434e-01	-3.465517e-01	-2.706014e-03	-2.727577e-03	2.249999e+04	1.000000e+16	4.343602e+09	8.982267e-01
3.224941e-01	-3.465517e-01	-2.663566e-03	-2.684790e-03	2.249999e+04	1.000000e+16	4.275463e+09	8.982267e-01
3.231449e-01	-3.465517e-01	-2.621783e-03	-2.642674e-03	2.249999e+04	1.000000e+16	4.208393e+09	8.982266e-01
3.237956e-01	-3.465517e-01	-2.580657e-03	-2.601220e-03	2.249999e+04	1.000000e+16	4.142375e+09	8.982266e-01
